time (ms), statusbyte, databyte1, datbaty2
 411975, 144, 81, 48
 411975, 144, 77, 48
 411975, 144, 89, 48
 411975, 144, 76, 48
 412000, 144, 49, 0
 412000, 144, 45, 0
 412000, 144, 42, 0
 412000, 144, 41, 0
 412350, 144, 89, 0
 412350, 144, 77, 0
 412350, 144, 76, 0
 412350, 144, 81, 0
 412875, 144, 80, 48
 412875, 144, 74, 48
 413250, 144, 45, 34
 413250, 144, 74, 0
 413250, 144, 80, 0
 413625, 144, 45, 0
 414000, 144, 50, 100
 414000, 144, 60, 34
 414000, 144, 55, 100
 414000, 144, 51, 100
 414375, 144, 60, 0
 415650, 144, 58, 100
 415650, 144, 72, 48
 415650, 144, 66, 48
 415650, 144, 70, 48
 415900, 144, 70, 0
 416025, 144, 76, 48
 416025, 144, 70, 48
 416025, 144, 77, 48
 416025, 144, 58, 0
 416025, 144, 66, 0
 416025, 144, 80, 48
 416025, 144, 72, 0
 416400, 144, 77, 0
 416400, 144, 70, 0
 416400, 144, 76, 0
 416400, 144, 80, 0
 416625, 144, 68, 48
 416625, 144, 64, 48
 416625, 144, 66, 48
 416625, 144, 65, 48
 416625, 144, 71, 48
 417000, 144, 65, 0
 417000, 144, 66, 0
 417000, 144, 64, 0
 417000, 144, 68, 0
 417000, 144, 71, 0
 422625, 144, 80, 48
 422625, 144, 71, 48
 422625, 144, 72, 48
 422625, 144, 70, 48
 423000, 144, 54, 34
 423000, 144, 72, 0
 423000, 144, 80, 0
 423000, 144, 70, 0
 423000, 144, 71, 0
 423375, 144, 73, 48
 423375, 144, 54, 0
 423375, 144, 81, 48
 423375, 144, 82, 48
 423625, 144, 80, 100
 423750, 144, 73, 0
 423750, 144, 82, 0
 423750, 144, 81, 0
 424000, 144, 80, 0
 425625, 144, 80, 100
 425625, 144, 84, 48
 425625, 144, 93, 48
 426000, 144, 93, 0
 426000, 144, 84, 0
 426600, 144, 44, 34
 426675, 144, 76, 100
 427050, 144, 76, 0
 430025, 144, 44, 0
 431200, 144, 74, 100
 431575, 144, 74, 0
 431750, 144, 73, 100
 432125, 144, 73, 0
 432625, 144, 44, 34
 433000, 144, 44, 0
 436425, 144, 51, 0
 436425, 144, 55, 0
 436650, 144, 83, 100
 436875, 144, 70, 100
 437025, 144, 83, 0
 437250, 144, 70, 0
 438600, 144, 76, 100
 438750, 144, 41, 100
 438750, 144, 49, 100
 438750, 144, 43, 100
 438975, 144, 76, 0
 439825, 144, 81, 100
 440200, 144, 81, 0
 441200, 144, 53, 0
